id,product_id,image,is_primary,alt_text,created_at
5,4,products/Pixel7P2.jpg,0,"","2025-05-04 15:05:15.294389"
6,2,"products/Capture_décran_du_2025-05-04_14-10-59_KxR4pdT.png",0,"","2025-05-04 16:56:42.407929"
7,2,"products/Capture_décran_du_2025-05-03_17-50-27.png",0,"","2025-05-04 16:56:42.408715"
8,4,products/pixel7P3.jpg,1,"","2025-05-04 17:01:53.585342"
9,4,products/pixel7P4.jpg,0,"","2025-05-04 17:01:53.586305"
10,4,"products/Capture_décran_du_2025-05-03_18-58-53_OkwTlj1.png",0,"","2025-05-04 17:13:35.473736"
17,9,products/Google-Pixel-3XL-04.webp,1,"Google Pixel 3","2025-05-15 15:24:33.632700"
18,9,products/CMB_5030.webp,0,"Google Pixel 3","2025-05-15 15:24:33.730786"
19,9,products/Google-Pixel-3-Review-15-1200x628-cropped.jpg,0,"Google Pixel 3","2025-05-15 15:24:33.796892"
29,2,products/Apple-iPhone-14-Pro-iPhone-14-Pro-Max-hero-220907_Full-Bleed-Image.jpg.large.jpg,1,"","2025-05-15 21:55:06.206087"
30,10,"products/Capture_décran_du_2025-05-15_16-50-38_zN0Z0Yg.png",1,"Oppo Find X5 Pro","2025-05-17 10:17:40.944629"
31,10,"products/Capture_décran_du_2025-05-15_22-09-55.png",0,"Oppo Find X5 Pro","2025-05-17 10:17:41.005528"
32,10,products/hack_7pAJ25S.png,0,"Oppo Find X5 Pro","2025-05-17 10:17:41.070439"
